Order_ID,Date,Product,Category,Region,Sales,Quantity,Profit,Customer_Segment
1041,2024-07-02,Mobile,Electronics,North,47000,3,9400,Consumer
1042,2024-07-06,Printer,Electronics,South,24000,3,4800,Corporate
1043,2024-07-10,Sofa,Furniture,East,36000,1,7200,Consumer
1044,2024-07-15,Keyboard,Electronics,West,8500,10,1700,Consumer
1045,2024-07-20,Laptop,Electronics,North,85000,2,17000,Corporate
1046,2024-07-24,Headphones,Electronics,South,14000,6,2800,Consumer
1047,2024-07-28,Wardrobe,Furniture,East,46000,1,9200,Home Office
1048,2024-08-03,Tablet,Electronics,West,37000,4,7400,Corporate
1049,2024-08-08,Speaker,Electronics,North,17000,5,3400,Consumer
1050,2024-08-12,Dining Table,Furniture,South,28000,1,5600,Home Office
1051,2024-08-16,Laptop,Electronics,East,79000,2,15800,Corporate
1052,2024-08-20,Mobile,Electronics,West,49000,3,9800,Consumer
1053,2024-08-25,Monitor,Electronics,North,31000,4,6200,Corporate
1054,2024-08-28,Chair,Furniture,South,12500,5,2500,Consumer
1055,2024-09-03,Bookshelf,Furniture,East,11000,3,2200,Home Office
1056,2024-09-08,Tablet,Electronics,West,34000,4,6800,Consumer
1057,2024-09-12,Printer,Electronics,North,25000,3,5000,Corporate
1058,2024-09-16,Sofa,Furniture,South,39000,1,7800,Consumer
1059,2024-09-20,Keyboard,Electronics,East,9000,10,1800,Consumer
1060,2024-09-25,Laptop,Electronics,West,83000,2,16600,Corporate
1061,2024-10-02,Mobile,Electronics,North,51000,3,10200,Corporate
1062,2024-10-06,Bed,Furniture,South,60000,1,12000,Home Office
1063,2024-10-10,Headphones,Electronics,East,15000,6,3000,Consumer
1064,2024-10-15,Dining Table,Furniture,West,29000,1,5800,Home Office
1065,2024-10-20,Tablet,Electronics,North,38000,4,7600,Corporate
1066,2024-10-24,Speaker,Electronics,South,18000,5,3600,Consumer
1067,2024-10-28,Wardrobe,Furniture,East,48000,1,9600,Home Office
1068,2024-11-03,Laptop,Electronics,West,88000,2,17600,Corporate
1069,2024-11-08,Monitor,Electronics,North,33000,4,6600,Corporate
1070,2024-11-12,Mobile,Electronics,South,53000,3,10600,Consumer
1071,2024-11-16,Chair,Furniture,East,14000,5,2800,Consumer
1072,2024-11-20,Printer,Electronics,West,26000,3,5200,Corporate
1073,2024-11-25,Bookshelf,Furniture,North,12000,3,2400,Home Office
1074,2024-11-28,Tablet,Electronics,South,40000,4,8000,Corporate
1075,2024-12-03,Sofa,Furniture,East,40000,1,8000,Consumer
1076,2024-12-08,Keyboard,Electronics,West,9500,10,1900,Consumer
1077,2024-12-12,Laptop,Electronics,North,90000,2,18000,Corporate
1078,2024-12-16,Headphones,Electronics,South,16000,6,3200,Consumer
1079,2024-12-20,Bed,Furniture,East,62000,1,12400,Home Office
1080,2024-12-25,Dining Table,Furniture,West,30000,1,6000,Home Office
